schid,school_name,REV_Subreg,REV_Region,search_term,hand_code_city
A1701457,Charis Christian Academy,Coles County,Illinois,"Charis Christian Academy, Coles County, Illinois"
00347745,St Rita School,Winnebago County,Illinois,"St Rita School, Winnebago County, Illinois"
200462001251,Rural Center Elem,Dickinson County,Kansas,"Rural Center Elem, Dickinson County, Kansas"
AA000664,Great Bend Sda School,Barton County,Kansas,"Great Bend Sda School, Barton County, Kansas"
00490015,Heritage Christian Academy,Johnson County,Kansas,"Heritage Christian Academy, Johnson County, Kansas"
A1792047,Heritage Christian Academy,Johnson County,Kansas,"Heritage Christian Academy, Johnson County, Kansas"
00515177,Good Shepherd Catholic School,Franklin County,Kentucky,"Good Shepherd Catholic School, Franklin County, Kentucky"
210201001989,Westridge Elementary,Franklin County,Kentucky,"Westridge Elementary, Franklin County, Kentucky"
A1701869,First Baptist Christian Academy,,Louisiana,"First Baptist Christian Academy, , Louisiana"
K9302556,Alpine Christian School,Rapides Parish,Louisiana,"Alpine Christian School, Rapides Parish, Louisiana"
A9501983,Slidell Christian Academy,Saint Tammany Parish,Louisiana,"Slidell Christian Academy, Saint Tammany Parish, Louisiana"
220168001951,Loranger Middle School,Tangipahoa Parish,Louisiana,"Loranger Middle School, Tangipahoa Parish, Louisiana"
240012090444,Joppa View Elementary,Baltimore County,Maryland,"Joppa View Elementary, Baltimore County, Maryland"
240012000419,Loch Raven Technical Academy,Baltimore County,Maryland,"Loch Raven Technical Academy, Baltimore County, Maryland"
A1701972,Smithson'S Christian School,Caroline County,Maryland,"Smithson'S Christian School, Caroline County, Maryland"
240024090468,Elk Neck Elementary,Cecil County,Maryland,"Elk Neck Elementary, Cecil County, Maryland"
A0901696,Holiness Christian Academy,Cecil County,Maryland,"Holiness Christian Academy, Cecil County, Maryland"
240039000704,Joppatowne Elementary,Harford County,Maryland,"Joppatowne Elementary, Harford County, Maryland"
240039001352,Magnolia Middle,Harford County,Maryland,"Magnolia Middle, Harford County, Maryland"
240039001642,Patterson Mill Middle School,Harford County,Maryland,"Patterson Mill Middle School, Harford County, Maryland"
240039001638,Patterson Mill High School,Harford County,Maryland,"Patterson Mill High School, Harford County, Maryland"
00577804,Our Lady Of Perpetual Help School,Howard County,Maryland,"Our Lady Of Perpetual Help School, Howard County, Maryland"
240051001184,William Beanes Elementary,Prince George's County,Maryland,"William Beanes Elementary, Prince George's County, Maryland"
AA000487,Faith Baptist School,Wicomico County,Maryland,"Faith Baptist School, Wicomico County, Maryland"
250495000709,John J Ahern,Norfolk County,Massachusetts,"John J Ahern, Norfolk County, Massachusetts"
00643686,Lamont Christian School,Ottawa County,Michigan,"Lamont Christian School, Ottawa County, Michigan"
02037582,Brockway Christian Academy,Mecosta County,Michigan,"Brockway Christian Academy, Mecosta County, Michigan"
00637402,St Edward On-The-Lake Catholic School,Saint Clair County,Michigan,"St Edward On-The-Lake Catholic School, Saint Clair County, Michigan"
A9303580,New Life Christian Academy,Saint Clair County,Michigan,"New Life Christian Academy, Saint Clair County, Michigan"
00640845,St Elizabeth Area Catholic School,Saginaw County,Michigan,"St Elizabeth Area Catholic School, Saginaw County, Michigan"
00704608,St Johns Evangelical Lutheran School,Goodhue County,Minnesota,"St Johns Evangelical Lutheran School, Goodhue County, Minnesota"
A9103738,Riverview Christian School,Meeker County,Minnesota,"Riverview Christian School, Meeker County, Minnesota"
280156000231,Rocky Creek Elementary School,George County,Mississippi,"Rocky Creek Elementary School, George County, Mississippi"
280156000981,Benndale Elementary School,George County,Mississippi,"Benndale Elementary School, George County, Mississippi"
A1101411,Lighthouse Baptist Academy,Missoula County,Montana,"Lighthouse Baptist Academy, Missoula County, Montana"
317802001852,Kennedy School,Cherry County,Nebraska,"Kennedy School, Cherry County, Nebraska"
320006000737,Robert L Forbuss Elementary School,Clark County,Nevada,"Robert L Forbuss Elementary School, Clark County, Nevada"
350006000092,Mountain View Elementary,Bernalillo County,New Mexico,"Mountain View Elementary, Bernalillo County, New Mexico"
350006001114,George I Sanchez,Bernalillo County,New Mexico,"George I Sanchez, Bernalillo County, New Mexico"
350021000153,Santo Domingo Elementary,,New Mexico,"Santo Domingo Elementary, , New Mexico"
350021000154,Santo Domingo Middle,,New Mexico,"Santo Domingo Middle, , New Mexico"
350069000238,Columbus Elementary,Luna County,New Mexico,"Columbus Elementary, Luna County, New Mexico"
350069001023,Red Mountain Middle,Luna County,New Mexico,"Red Mountain Middle, Luna County, New Mexico"
350090000271,Hernandez Elementary,,New Mexico,"Hernandez Elementary, , New Mexico"
01904934,Covenant Love Community School,Tompkins County,New York,"Covenant Love Community School, Tompkins County, New York"
A9903253,Seneca Bible Baptist Academy,Seneca County,New York,"Seneca Bible Baptist Academy, Seneca County, New York"
363126004181,Mamaroneck Avenue School,Westchester County,New York,"Mamaroneck Avenue School, Westchester County, New York"
01013176,West Duplin Christian Academy,Duplin County,North Carolina,"West Duplin Christian Academy, Duplin County, North Carolina"
370126000534,Glenn Elementary,Durham County,North Carolina,"Glenn Elementary, Durham County, North Carolina"
370126003185,Sandy Ridge Elementary,Durham County,North Carolina,"Sandy Ridge Elementary, Durham County, North Carolina"
A1101826,Swift Creek Mennonite School,Craven County,North Carolina,"Swift Creek Mennonite School, Craven County, North Carolina"
370333001396,Wrightsboro Elementary,New Hanover County,North Carolina,"Wrightsboro Elementary, New Hanover County, North Carolina"
370039703374,Pave Southeast Raleigh Charter,Wake County,North Carolina,"Pave Southeast Raleigh Charter, Wake County, North Carolina"
370472001858,Fuller Elementary,Wake County,North Carolina,"Fuller Elementary, Wake County, North Carolina"
370472002854,Barwell Road Elementary,Wake County,North Carolina,"Barwell Road Elementary, Wake County, North Carolina"
370472003186,Walnut Creek Elementary,Wake County,North Carolina,"Walnut Creek Elementary, Wake County, North Carolina"
370472003411,Rogers Lane Elementary,Wake County,North Carolina,"Rogers Lane Elementary, Wake County, North Carolina"
370472003276,Rolesville High,Wake County,North Carolina,"Rolesville High, Wake County, North Carolina"
A0902575,Hillside Christian Academy,Hamilton County,Ohio,"Hillside Christian Academy, Hamilton County, Ohio"
390012103912,Hamilton Cnty Math & Science,Hamilton County,Ohio,"Hamilton Cnty Math & Science, Hamilton County, Ohio"
A0701821,St Joseph Villa Academy Elementary,Hamilton County,Ohio,"St Joseph Villa Academy Elementary, Hamilton County, Ohio"
390480403098,Watkins Middle School,Licking County,Ohio,"Watkins Middle School, Licking County, Ohio"
410192001222,Montclair Elementary School,Washington County,Oregon,"Montclair Elementary School, Washington County, Oregon"
410192001235,Meadow Park Middle School,Washington County,Oregon,"Meadow Park Middle School, Washington County, Oregon"
410192001236,Mountain View Middle School,Washington County,Oregon,"Mountain View Middle School, Washington County, Oregon"
411317000054,Stafford Primary School,Clackamas County,Oregon,"Stafford Primary School, Clackamas County, Oregon"
A1592176,Gospel Of Grace,Montgomery County,Pennsylvania,"Gospel Of Grace, Montgomery County, Pennsylvania"
01200778,Locust Grove School,Snyder County,Pennsylvania,"Locust Grove School, Snyder County, Pennsylvania"
A9105930,Pleasant Hill Christian School,York County,Pennsylvania,"Pleasant Hill Christian School, York County, Pennsylvania"
450231000542,Greenbrier Elementary,Greenville County,South Carolina,"Greenbrier Elementary, Greenville County, South Carolina"
470014802019,Southwind Elementary,Shelby County,Tennessee,"Southwind Elementary, Shelby County, Tennessee"
470014802327,Dubois Middle Of Leadership Public Policy,Shelby County,Tennessee,"Dubois Middle Of Leadership Public Policy, Shelby County, Tennessee"
470014802322,Dubois High Of Leadership Public Policy,Shelby County,Tennessee,"Dubois High Of Leadership Public Policy, Shelby County, Tennessee"
A1303241,Blue Springs Christian Academy,Jefferson County,Tennessee,"Blue Springs Christian Academy, Jefferson County, Tennessee"
470222000785,Green Magnet Math And Science Academy,Knox County,Tennessee,"Green Magnet Math And Science Academy, Knox County, Tennessee"
A9106345,Liberty Christian Academy,Weakley County,Tennessee,"Liberty Christian Academy, Weakley County, Tennessee"
481500010966,Deretchin El,Montgomery County,Texas,"Deretchin El, Montgomery County, Texas"
481500011309,Kaufman El,Montgomery County,Texas,"Kaufman El, Montgomery County, Texas"
481500011489,Broadway El,Montgomery County,Texas,"Broadway El, Montgomery County, Texas"
A1503831,The Woodlands Methodist School,Montgomery County,Texas,"The Woodlands Methodist School, Montgomery County, Texas"
481611013441,Wells El,Harris County,Texas,"Wells El, Harris County, Texas"
481611013434,Bridgeland H S,Harris County,Texas,"Bridgeland H S, Harris County, Texas"
481620006237,Dalhart J H,Hartley County,Texas,"Dalhart J H, Hartley County, Texas"
482364002395,Bastian El,Harris County,Texas,"Bastian El, Harris County, Texas"
482517012854,Keiko Davidson El,Fort Bend County,Texas,"Keiko Davidson El, Fort Bend County, Texas"
482517002813,West Memorial J H,Harris County,Texas,"West Memorial J H, Harris County, Texas"
BB182570,Eastside Christian School,Polk County,Texas,"Eastside Christian School, Polk County, Texas"
482874009357,Nichols Sawmill El,Montgomery County,Texas,"Nichols Sawmill El, Montgomery County, Texas"
482874012105,Magnolia Parkway El,Montgomery County,Texas,"Magnolia Parkway El, Montgomery County, Texas"
A0702235,Legacy Preparatory Christian Academy,Montgomery County,Texas,"Legacy Preparatory Christian Academy, Montgomery County, Texas"
483126012213,Madeley Ranch El,Montgomery County,Texas,"Madeley Ranch El, Montgomery County, Texas"
483999012497,Garrett El,Harris County,Texas,"Garrett El, Harris County, Texas"
483999012064,Michael R Null Middle,Harris County,Texas,"Michael R Null Middle, Harris County, Texas"
484065004602,Snyder J H,Scurry County,Texas,"Snyder J H, Scurry County, Texas"
484296011921,Creekside Forest El,Harris County,Texas,"Creekside Forest El, Harris County, Texas"
484296012593,Timber Creek El,Harris County,Texas,"Timber Creek El, Harris County, Texas"
A0308056,The Woodlands Preporatory School,Harris County,Texas,"The Woodlands Preporatory School, Harris County, Texas"
484296012997,Creekside Park J H,Harris County,Texas,"Creekside Park J H, Harris County, Texas"
A9504309,St Andrew The Apostle School,Fairfax County,Virginia,"St Andrew The Apostle School, Fairfax County, Virginia"
510189000834,Varina Elementary,Henrico County,Virginia,"Varina Elementary, Henrico County, Virginia"
530038000055,Pleasant Valley Primary,Clark County,Washington,"Pleasant Valley Primary, Clark County, Washington"
530123000228,Windsor Elementary,Spokane County,Washington,"Windsor Elementary, Spokane County, Washington"
530267000402,Jefferson Elementary,Snohomish County,Washington,"Jefferson Elementary, Snohomish County, Washington"
530267002669,Penny Creek Elementary,Snohomish County,Washington,"Penny Creek Elementary, Snohomish County, Washington"
530267003195,Forest View Elementary School,Snohomish County,Washington,"Forest View Elementary School, Snohomish County, Washington"
530270000425,Sifton Elementary School,Clark County,Washington,"Sifton Elementary School, Clark County, Washington"
530270002429,Harmony Elementary School,Clark County,Washington,"Harmony Elementary School, Clark County, Washington"
530270000415,Covington Middle School,Clark County,Washington,"Covington Middle School, Clark County, Washington"
530270001901,Pacific Middle School,Clark County,Washington,"Pacific Middle School, Clark County, Washington"
530270002878,Shahala Middle School,Clark County,Washington,"Shahala Middle School, Clark County, Washington"
530423000661,Dickinson Elementary,King County,Washington,"Dickinson Elementary, King County, Washington"
530423001841,Evergreen Middle School,King County,Washington,"Evergreen Middle School, King County, Washington"
A1703793,Willows Preparatory School,King County,Washington,"Willows Preparatory School, King County, Washington"
530486003102,Marysville Arts And Technology High School,,Washington,"Marysville Arts And Technology High School, , Washington"
530591000480,Skyview Middle School,Snohomish County,Washington,"Skyview Middle School, Snohomish County, Washington"
530591003617,North Creek High School,Snohomish County,Washington,"North Creek High School, Snohomish County, Washington"
530927001558,Dwight D Eisenhower Elementary,Clark County,Washington,"Dwight D Eisenhower Elementary, Clark County, Washington"
530927001570,Jason Lee Middle School,Clark County,Washington,"Jason Lee Middle School, Clark County, Washington"
530927003415,Vancouver Itech Preparatory,Clark County,Washington,"Vancouver Itech Preparatory, Clark County, Washington"
540081001398,Bradshaw Elementary School,McDowell County,West Virginia,"Bradshaw Elementary School, McDowell County, West Virginia"
01510622,St Peter Catholic School,Dane County,Wisconsin,"St Peter Catholic School, Dane County, Wisconsin"
01508759,St Mary/St Michael School,Manitowoc County,Wisconsin,"St Mary/St Michael School, Manitowoc County, Wisconsin"
